Order ID,Pick Slip ID,Product ID,Product Description,Date/Time Returned,Return Line Qty Returned,Return Line Disposition
#143022,329042,FM-CAP-3839,CAPRI-SLIDES-3839,03/26/2025 10:47:00,1,Return to Stock
#141511,285145,FM-BLK-3839,BLACK-SLIDES-3839,11/26/2024 15:22:00,1,Return to Stock
#143093,329535,FM-BLK-3839,BLACK-SLIDES-3839,03/26/2025 11:26:00,1,Return to Stock
#144666,336402,FM-BLK-3839,BLACK-SLIDES-3839,05/13/2025 12:32:00,1,Return to Stock
#144093,334228,FM-BLK-4041,BLACK-SLIDES-4041,05/13/2025 11:30:00,1,Return to Stock
#143657,332437,FM-BLK-4142,BLACK-SLIDES-4142,04/16/2025 15:02:00,1,Return to Stock
#142486,307002,FM-BLK-4243,BLACK-SLIDES-4243,01/14/2025 14:45:00,1,Return to Stock
#142692,319132,FM-BLK-4344,BLACK-SLIDES-4344,03/14/2025 11:29:00,1,Return to Stock
#141519,285135,FM-BLK-4445,BLACK-SLIDES-4445,01/23/2025 15:47:00,1,Return to Stock
#143074,329515,FM-BLK-4546,BLACK-SLIDES-4546,03/25/2025 10:01:00,1,Return to Stock
#141519,285135,FM-BLK-4647,BLACK-SLIDES-4647,01/23/2025 15:47:00,1,Return to Stock
#142184,290765,FM-BLK-2425,BLACK-SLIDES-2425,01/10/2025 09:48:00,1,Return to Stock
#142184,290765,FM-BLK-2627,BLACK-SLIDES-2627,01/10/2025 09:48:00,1,Return to Stock
#142184,290765,FM-BLK-3031,BLACK-SLIDES-3031,01/10/2025 09:48:00,1,Return to Stock
#143087,329523,FM-BLK-3031,BLACK-SLIDES-3031,03/25/2025 09:57:00,1,Return to Stock
#142789,326546,FM-BLK-3233,BLACK-SLIDES-3233,02/19/2025 14:48:00,2,Return to Stock
#141851,287810,FM-KS.OLV-40,KUSH OLIVE-SLIPPERS,01/10/2025 14:56:00,1,Return to Stock
#142379,306471,FM-KS.LTE-38,KUSH LATTE-SLIPPERS,01/10/2025 09:28:00,1,Return to Stock
#142783,326315,FM-KS.LTE-38,KUSH LATTE-SLIPPERS,03/07/2025 10:30:00,1,Return to Stock
#141596,286530,FM-KS.LTE-38,KUSH LATTE-SLIPPERS,03/12/2025 15:06:00,1,Return to Stock
#142816,327058,FM-KS.LTE-39,KUSH LATTE-SLIPPERS,02/21/2025 11:27:00,1,Return to Stock
#143114,329768,FM-KS.LTE-39,KUSH LATTE-SLIPPERS,03/12/2025 10:01:00,1,Return to Stock
#144360,335376,FM-KS.LTE-39,KUSH LATTE-SLIPPERS,05/13/2025 13:44:00,1,Return to Stock
#142438,306780,FM-KS.LTE-40,KUSH LATTE-SLIPPERS,02/13/2025 10:50:00,1,Return to Stock
#142675,318824,FM-KS.LTE-40,KUSH LATTE-SLIPPERS,02/25/2025 15:01:00,2,Return to Stock
#142855,327427,FM-KS.LTE-41,KUSH LATTE-SLIPPERS,02/19/2025 14:53:00,1,Return to Stock
#142677,318822,FM-KS.LTE-41,KUSH LATTE-SLIPPERS,02/25/2025 14:58:00,1,Return to Stock
#142759,323838,FM-KS.JT-38,KUSH JET-SLIPPERS,02/18/2025 14:36:00,1,Return to Stock
#140920,279344,FM-KS.JT-40,KUSH JET-SLIPPERS,11/26/2024 15:20:00,1,Return to Stock
#142446,306836,FM-KS.JT-42,KUSH JET-SLIPPERS,02/18/2025 14:57:00,1,Return to Stock
#142740,323031,FM-APRIGLI-3839,APRICOT GLITTER,03/05/2025 11:23:00,1,Return to Stock
#141593,286372,FM-APRIGLI-3940,APRICOT GLITTER,12/09/2024 15:05:00,1,Return to Stock
#141593,286372,FM-APRIGLI-4041,APRICOT GLITTER,12/09/2024 15:05:00,1,Return to Stock
#143831,333106,FM-APRIGLI-4041,APRICOT GLITTER,05/13/2025 11:07:00,1,Return to Stock
#143395,331189,FM-POPSA-3536,POPLEO SANDS-SLIDES,04/01/2025 15:54:00,1,Return to Stock
#143362,331004,FM-POPSA-3637,POPLEO SANDS-SLIDES,04/11/2025 11:27:00,1,Return to Stock
#143650,332398,FM-FRCBL-3839,FIERCE BLACK-SLIDES,04/16/2025 15:00:00,1,Return to Stock
#144407,335512,FM-FRCBL-3940,FIERCE BLACK-SLIDES,05/13/2025 13:29:00,1,Return to Stock
#143450,331556,FM-PZBLK-3536,PAZ BLACK-SLIDES,04/11/2025 11:19:00,1,Return to Stock
